Designator,Mid X,Mid Y,Rotation,Layer
Boot1,220.726,-128.8034,0.0,top
C1,194.48,-97.525,0.0,top
C10,206.6,-122.5,0.0,top
C11,214.6702,-125.8047,270.0,top
C12,208.9044,-127.0239,90.0,top
C13,180.5178,-118.1608,180.0,top
C14,180.5152,-116.8908,180.0,top
C15,174.1,-52.2,270.0,top
C16,172.8208,-52.179,270.0,top
C17,171.2438,-52.609,270.0,top
C18,213.41,-72.84,180.0,top
C19,171.7802,-55.118,90.0,top
C2,191.0,-88.2,0.0,top
C20,172.974,-55.941,270.0,top
C21,171.58,-58.07,90.0,top
C22,173.4312,-59.0042,270.0,top
C23,187.705149,-101.18,270.0,top
C24,183.61,-104.9,180.0,top
C25,157.33,-118.13,270.0,top
C26,158.85,-109.78,270.0,top
C27,158.85,-113.45,90.0,top
C28,163.35,-116.8,270.0,top
C29,186.6,-101.17,90.0,top
C3,168.47,-90.25,180.0,top
C30,181.8,-96.85,0.0,top
C31,188.1632,-95.62,90.0,top
C32,211.31,-69.74,90.0,top
C33,217.0938,-137.4114,270.0,top
C34,179.0,-130.41,90.0,top
C35,193.45,-121.48,90.0,top
C36,199.95,-129.52,90.0,top
C37,206.6,-123.5,180.0,top
C38,200.27,-116.945,270.0,top
C39,194.98,-118.885,90.0,top
C4,166.72,-80.82,0.0,top
C40,192.18,-123.6,0.0,top
C41,193.225,-120.0,0.0,top
C42,190.5,-124.65,180.0,top
C43,194.25,-100.7,270.0,top
C44,183.63,-102.9,180.0,top
C45,183.63,-103.9,0.0,top
C5,159.53,-66.66,0.0,top
C6,176.6798,-72.517,180.0,top
C7,193.25,-118.95,180.0,top
C9,194.67,-128.6,0.0,top
D2,163.322,-83.7946,180.0,top
D5,220.9048,-135.292,90.0,top
D6,213.1556,-64.15,90.0,top
D7,213.1576,-56.698,90.0,top
J1,153.07,-130.98,270.0,top
J10,164.81,-127.62,90.0,top
J11,187.065,-80.5,270.0,top
J12,151.3488,-111.5532,270.0,top
J13,163.99,-63.0,0.0,top
J14,201.815,-65.36,0.0,top
J15,205.875,-65.36,0.0,top
J2,152.0124,-75.03179,270.0,top
J3,151.8648,-87.332588,270.0,top
J4,205.225,-86.7,90.0,top
J5,210.825,-113.1,90.0,top
J6,168.0408,-63.0,0.0,top
J7,220.5,-86.18,180.0,top
L1,198.2,-94.2,90.0,top
P1,209.3362,-142.6372,270.0,top
P2,204.3362,-142.6372,270.0,top
P3,199.3362,-142.6372,270.0,top
P4,194.335493,-142.637907,270.0,top
P5,189.3362,-142.6372,270.0,top
P6,184.3362,-142.6372,270.0,top
Q2,196.4667,-109.4638,180.0,top
Q3,166.645,-136.97,0.0,top
Q5,196.4644,-113.162,180.0,top
R1,160.08,-76.83,0.0,top
R14,159.0,-68.51,90.0,top
R15,190.43,-122.18,0.0,top
R16,190.44,-121.18,180.0,top
R18,183.29,-130.4,0.0,top
R2,160.3,-73.0,90.0,top
R20,212.6,-85.3,180.0,top
R21,212.6,-82.9,0.0,top
R22,193.8251,-108.4072,270.0,top
R23,199.4639,-109.921,90.0,top
R25,169.6,-118.29,270.0,top
R26,152.79,-104.43,90.0,top
R27,153.81,-104.45,90.0,top
R28,171.4,-118.29,90.0,top
R29,159.993,-113.45,90.0,top
R30,159.993,-109.78,90.0,top
R32,165.180799,-143.0718,0.0,top
R33,193.4464,-112.7526,270.0,top
R34,199.5401,-112.5626,270.0,top
R4,178.181,-74.0176,90.0,top
R5,162.2552,-91.1352,270.0,top
R6,162.8,-86.233,0.0,top
R7,178.1556,-72.0852,90.0,top
R8,176.681,-73.5076,180.0,top
RST1,154.75,-64.0,270.0,top
SW1,167.4262,-148.4693,0.0,top
SW4,213.4,-76.35,90.0,top
SWD1,222.3008,-120.6904,180.0,top
U1,194.0,-94.0625,90.0,top
U10,190.955149,-102.08,180.0,top
U11,186.95,-107.0625,270.0,top
U13,185.75,-96.8,180.0,top
U2,171.323,-85.3694,180.0,top
U3,207.4188,-134.8872,0.0,top
U4,198.6688,-123.9372,180.0,top
U5,197.4188,-134.8872,0.0,top
U6,187.4188,-134.8872,0.0,top
U7,184.785,-124.079,0.0,top
U8,187.5,-59.5,0.0,top
U9,164.354,-110.8385,90.0,top
Y1,211.8,-126.6,90.0,top
